dise dist|dise block|dise_cluster|klp dist|klp block|klp_cluster|klpid|check
bagalkot|jamakhandi|gothe|bagalkot|jamakhandi|gothe|9734|1
bagalkot|jamakhandi|hipparagi|bagalkot|jamakhandi|hipparagi|9492|1
bagalkot|jamakhandi|hirepadasalagi|bagalkot|jamakhandi|hirepadasalagi|9496|1
bagalkot|jamakhandi|hulyal|bagalkot|jamakhandi|hulyal|772|1
bagalkot|jamakhandi|hunnur|bagalkot|jamakhandi|hunnur|767|1
bagalkot|jamakhandi|jamakhandi east|bagalkot|jamakhandi|jamakhandi east|9499|1
bagalkot|jamakhandi|jamakhandi west|bagalkot|jamakhandi|jamakhandi west|9500|1
bagalkot|jamakhandi|konnur|bagalkot|jamakhandi|konnur|9735|1
bagalkot|jamakhandi|kunchanur|bagalkot|jamakhandi|kunchanur|9498|1
bagalkot|jamakhandi|maigur|bagalkot|jamakhandi|maigur|9736|1
bagalkot|jamakhandi|rabakavi|bagalkot|jamakhandi|rabakavi|763|1
bagalkot|jamakhandi|rampur|bagalkot|jamakhandi|rampur|765|1
bagalkot|jamakhandi|savalagi|bagalkot|jamakhandi|savalagi|770|1
bagalkot|jamakhandi|terdal east|bagalkot|jamakhandi|terdal east|9501|1
bagalkot|jamakhandi|terdal west|bagalkot|jamakhandi|terdal west|9502|1
bagalkot|jamakhandi|todalbagi|bagalkot|jamakhandi|todalbagi|769|1
bagalkot|jamakhandi|tungal|bagalkot|jamakhandi|tungal|9737|1
bagalkot|jamakhandi|urdu jamkhandi|bagalkot|jamakhandi|urdu jamkhandi|9493|1
bagalkot|jamakhandi|urdu rabakavi|bagalkot|jamakhandi|urdu rabakavi|9494|1
bagalkot|jamakhandi|urdu savalagi|bagalkot|jamakhandi|urdu savalagi|9495|1
bagalkot|mudhol|belagali|bagalkot|mudhol|belagali|9738|1
bagalkot|mudhol|bhantanur|bagalkot|mudhol|bhantanur|9739|1
bagalkot|mudhol|chichkhandi|bagalkot|mudhol|chichkhandi|9505|1
bagalkot|mudhol|hebbal|bagalkot|mudhol|hebbal|780|1
bagalkot|mudhol|lakshanatti|bagalkot|mudhol|lakshanatti|9740|1
bagalkot|mudhol|lokapur|bagalkot|mudhol|lokapur|773|1
bagalkot|mudhol|machakanur|bagalkot|mudhol|machakanur|9741|1
bagalkot|mudhol|madabhavi|bagalkot|mudhol|madabhavi|9742|1
bagalkot|mudhol|mahalingapur kgs|bagalkot|mudhol|mahalingapur kgs|778|1
bagalkot|mudhol|mahalingapur mps|bagalkot|mudhol|mahalingapur mps|779|1
