dise dist|dise block|dise_cluster|klp dist|klp block|klp_cluster|check
bijapur|bijapur  rural|nagathan|bijapur|bijapur  rural|nagathan|811|1.0
bijapur|bijapur  rural|shivanagi|bijapur|bijapur  rural|shivanagi|812|1.0
bijapur|bijapur  rural|shivanagi urdu|bijapur|bijapur  rural|shivanagi urdu|801|1.0
bijapur|bijapur  rural|tikota|bijapur|bijapur  rural|tikota|813|1.0
bijapur|bijapur  rural|toravi|bijapur|bijapur  rural|toravi|814|1.0
bijapur|chadachan|baradol|bijapur|chadachan|baradol|9582|1.0
bijapur|chadachan|chadachan|bijapur|chadachan|chadachan|862|1.0
bijapur|chadachan|chadachan(urdu)|bijapur|chadachan|chadachan(urdu)|865|1.0
bijapur|chadachan|dhulakhed|bijapur|chadachan|dhulakhed|9583|1.0
bijapur|chadachan|hadalasang|bijapur|chadachan|hadalasang|9584|1.0
bijapur|chadachan|halasangi|bijapur|chadachan|halasangi|858|1.0
bijapur|chadachan|hattalli|bijapur|chadachan|hattalli|9585|1.0
bijapur|chadachan|horti|bijapur|chadachan|horti|859|1.0
bijapur|chadachan|horti urdu|bijapur|chadachan|horti urdu|9586|1.0
bijapur|chadachan|inchageri|bijapur|chadachan|inchageri|9587|1.0
bijapur|chadachan|jigajivanagi|bijapur|chadachan|jigajivanagi|864|1.0
bijapur|chadachan|loni|bijapur|chadachan|loni|861|1.0
bijapur|chadachan|nandaragi|bijapur|chadachan|nandaragi|9588|1.0
bijapur|chadachan|nivaragi|bijapur|chadachan|nivaragi|860|1.0
bijapur|chadachan|zalaki|bijapur|chadachan|zalaki|863|1.0
bijapur|indi|agarakhed|bijapur|indi|agarakhed|818|1.0
bijapur|indi|anjutagi|bijapur|indi|anjutagi|9562|1.0
bijapur|indi|atharga|bijapur|indi|atharga|819|1.0
bijapur|indi|chikkabevanur|bijapur|indi|chikkabevanur|821|1.0
bijapur|indi|hirebevanur|bijapur|indi|hirebevanur|9564|1.0
bijapur|indi|hirerugi|bijapur|indi|hirerugi|9563|1.0
bijapur|indi|indi (kannada)|bijapur|indi|indi (kannada)|828|1.0
bijapur|indi|indi (urdu)|bijapur|indi|indi (urdu)|820|1.0
bijapur|indi|ingalagi (urdu)|bijapur|indi|ingalagi (urdu)|9567|1.0
bijapur|indi|lachyan|bijapur|indi|lachyan|822|1.0
bijapur|indi|nad kd|bijapur|indi|nad kd|824|1.0
bijapur|indi|nimbal kd|bijapur|indi|nimbal kd|825|1.0
bijapur|indi|salotagi|bijapur|indi|salotagi|826|1.0
bijapur|indi|satalagoan urdu|bijapur|indi|satalagoan urdu|9566|1.0
bijapur|indi|tadwalaga|bijapur|indi|tadwalaga|827|1.0
bijapur|indi|tamba|bijapur|indi|tamba|823|1.0
bijapur|indi|tenihalli|bijapur|indi|tenihalli|9565|1.0
bijapur|muddebihal|balabatti|bijapur|muddebihal|balabatti|840|1.0
bijapur|muddebihal|basarakod|bijapur|muddebihal|basarakod|829|1.0
bijapur|muddebihal|dhavalagi|bijapur|muddebihal|dhavalagi|832|1.0
bijapur|muddebihal|hiremural|bijapur|muddebihal|hiremural|833|1.0
bijapur|muddebihal|hullur|bijapur|muddebihal|hullur|831|1.0
bijapur|muddebihal|kodaganur|bijapur|muddebihal|kodaganur|835|1.0
bijapur|muddebihal|konnur|bijapur|muddebihal|konnur|830|1.0
bijapur|muddebihal|minajagi|bijapur|muddebihal|minajagi|841|1.0
bijapur|muddebihal|muddebihal|bijapur|muddebihal|muddebihal|836|1.0
bijapur|muddebihal|nalatawad|bijapur|muddebihal|nalatawad|837|1.0
bijapur|muddebihal|rakkasagi|bijapur|muddebihal|rakkasagi|838|1.0
bijapur|muddebihal|talikoti|bijapur|muddebihal|talikoti|834|1.0
bijapur|muddebihal|talikoti urdu|bijapur|muddebihal|talikoti urdu|9568|1.0
bijapur|muddebihal|tangadagi|bijapur|muddebihal|tangadagi|839|1.0
bijapur|sindagi|almel|bijapur|sindagi|almel|856|1.0
bijapur|sindagi|almel urdu|bijapur|sindagi|almel urdu|9576|1.0
bijapur|sindagi|aski|bijapur|sindagi|aski|842|1.0
bijapur|sindagi|balaganur|bijapur|sindagi|balaganur|9570|1.0
bijapur|sindagi|devanagaon|bijapur|sindagi|devanagaon|849|1.0
bijapur|sindagi|devar hipparagi|bijapur|sindagi|devar hipparagi|857|1.0
bijapur|sindagi|devar hipparagi i urdu|bijapur|sindagi|devar hipparagi i urdu|9575|1.0
bijapur|sindagi|gabasavalagi|bijapur|sindagi|gabasavalagi|9577|1.0
bijapur|sindagi|golageri|bijapur|sindagi|golageri|850|1.0
bijapur|sindagi|gubbewad|bijapur|sindagi|gubbewad|9578|1.0
bijapur|sindagi|hittinahalli|bijapur|sindagi|hittinahalli|851|1.0
bijapur|sindagi|honnalli|bijapur|sindagi|honnalli|9569|1.0
bijapur|sindagi|jalawad|bijapur|sindagi|jalawad|852|1.0
bijapur|sindagi|kalakeri|bijapur|sindagi|kalakeri|845|1.0
bijapur|sindagi|kalakeri urdu|bijapur|sindagi|kalakeri urdu|9574|1.0
bijapur|sindagi|kannolli|bijapur|sindagi|kannolli|844|1.0
bijapur|sindagi|kerutagi|bijapur|sindagi|kerutagi|9572|1.0
bijapur|sindagi|kondaguli|bijapur|sindagi|kondaguli|853|1.0
bijapur|sindagi|korahalli|bijapur|sindagi|korahalli|9579|1.0
bijapur|sindagi|korawar|bijapur|sindagi|korawar|9580|1.0
bijapur|sindagi|malaghan|bijapur|sindagi|malaghan|854|1.0
bijapur|sindagi|moratagi|bijapur|sindagi|moratagi|855|1.0
bijapur|sindagi|moratagi urdu|bijapur|sindagi|moratagi urdu|9573|1.0
bijapur|sindagi|mulasavalagi|bijapur|sindagi|mulasavalagi|9581|1.0
bijapur|sindagi|rampur pa|bijapur|sindagi|rampur pa|846|1.0
bijapur|sindagi|sindagi|bijapur|sindagi|sindagi|843|1.0
bijapur|sindagi|sindagi(urdu)|bijapur|sindagi|sindagi(urdu)|848|1.0
bijapur|sindagi|sungathan|bijapur|sindagi|sungathan|9571|1.0
bijapur|sindagi|yankanchi|bijapur|sindagi|yankanchi|847|1.0
chamarajanagara|chamaraja nagar|aluru|chamarajanagara|chamaraja nagar|aluru|9631|1.0
chamarajanagara|chamaraja nagar|amachavadi|chamarajanagara|chamaraja nagar|amachavadi|9632|1.0
chamarajanagara|chamaraja nagar|arakala vadi|chamarajanagara|chamaraja nagar|arakala vadi|2869|1.0
chamarajanagara|chamaraja nagar|badanaguppe|chamarajanagara|chamaraja nagar|badanaguppe|2863|1.0
chamarajanagara|chamaraja nagar|bagali|chamarajanagara|chamaraja nagar|bagali|9635|1.0
chamarajanagara|chamaraja nagar|chamarajanagar - i|chamarajanagara|chamaraja nagar|chamarajanagar - i|2875|1.0
chamarajanagara|chamaraja nagar|chamarajanagar - ii|chamarajanagara|chamaraja nagar|chamarajanagar - ii|2876|1.0
chamarajanagara|chamaraja nagar|chamarajanagar - iii|chamarajanagara|chamaraja nagar|chamarajanagar - iii|2861|1.0
chamarajanagara|chamaraja nagar|chandaka vadi|chamarajanagara|chamaraja nagar|chandaka vadi|2870|1.0
chamarajanagara|chamaraja nagar|haradana halli|chamarajanagara|chamaraja nagar|haradana halli|2867|1.0
chamarajanagara|chamaraja nagar|harave|chamarajanagara|chamaraja nagar|harave|2865|1.0
chamarajanagara|chamaraja nagar|heggotara|chamarajanagara|chamaraja nagar|heggotara|9633|1.0
chamarajanagara|chamaraja nagar|honganuru|chamarajanagara|chamaraja nagar|honganuru|9634|1.0
chamarajanagara|chamaraja nagar|kagalavadi|chamarajanagara|chamaraja nagar|kagalavadi|2872|1.0
chamarajanagara|chamaraja nagar|kolipalya|chamarajanagara|chamaraja nagar|kolipalya|2862|1.0
chamarajanagara|chamaraja nagar|kuderu|chamarajanagara|chamaraja nagar|kuderu|2873|1.0
chamarajanagara|chamaraja nagar|mangala|chamarajanagara|chamaraja nagar|mangala|2864|1.0
chamarajanagara|chamaraja nagar|nagavalli|chamarajanagara|chamaraja nagar|nagavalli|2871|1.0
chamarajanagara|chamaraja nagar|nanjedevanapura|chamarajanagara|chamaraja nagar|nanjedevanapura|9638|1.0
chamarajanagara|chamaraja nagar|sagade|chamarajanagara|chamaraja nagar|sagade|9637|1.0
chamarajanagara|chamaraja nagar|santhe marahalli|chamarajanagara|chamaraja nagar|santhe marahalli|2874|1.0
chamarajanagara|chamaraja nagar|udigala|chamarajanagara|chamaraja nagar|udigala|2866|1.0
chamarajanagara|chamaraja nagar|ummatturu|chamarajanagara|chamaraja nagar|ummatturu|9636|1.0
chamarajanagara|chamaraja nagar|venkataiana chathra|chamarajanagara|chamaraja nagar|venkataiana chathra|2868|1.0
chamarajanagara|gundlupet|agathagowdanahalli|chamarajanagara|gundlupet|agathagowdanahalli|2887|1.0
chamarajanagara|gundlupet|baragi|chamarajanagara|gundlupet|baragi|2881|1.0
chamarajanagara|gundlupet|begur|chamarajanagara|gundlupet|begur|2880|1.0
chamarajanagara|gundlupet|bheemanabeedu|chamarajanagara|gundlupet|bheemanabeedu|2877|1.0
chamarajanagara|gundlupet|bommalapura|chamarajanagara|gundlupet|bommalapura|2882|1.0
chamarajanagara|gundlupet|chikkathuppuru|chamarajanagara|gundlupet|chikkathuppuru|2878|1.0
chamarajanagara|gundlupet|chikkati|chamarajanagara|gundlupet|chikkati|9628|1.0
chamarajanagara|gundlupet|gundulpete town|chamarajanagara|gundlupet|gundulpete town|9626|1.0
chamarajanagara|gundlupet|gundulpete urdu|chamarajanagara|gundlupet|gundulpete urdu|9627|1.0
chamarajanagara|gundlupet|hangala|chamarajanagara|gundlupet|hangala|2886|1.0
chamarajanagara|gundlupet|horeyala|chamarajanagara|gundlupet|horeyala|9625|1.0
chamarajanagara|gundlupet|hundipura|chamarajanagara|gundlupet|hundipura|9624|1.0
chamarajanagara|gundlupet|kabbahalli|chamarajanagara|gundlupet|kabbahalli|2879|1.0
chamarajanagara|gundlupet|paduguru|chamarajanagara|gundlupet|paduguru|9629|1.0
chamarajanagara|gundlupet|terakanambi|chamarajanagara|gundlupet|terakanambi|2884|1.0
chamarajanagara|gundlupet|vaddagere|chamarajanagara|gundlupet|vaddagere|2883|1.0
chamarajanagara|hanur|bandahalli|chamarajanagara|hanur|bandahalli|2910|1.0
chamarajanagara|hanur|hanur|chamarajanagara|hanur|hanur|2907|1.0
chamarajanagara|hanur|kowdalli|chamarajanagara|hanur|kowdalli|2913|1.0
chamarajanagara|hanur|kuduluru|chamarajanagara|hanur|kuduluru|2908|1.0
chamarajanagara|hanur|lokkanahalli|chamarajanagara|hanur|lokkanahalli|2909|1.0
chamarajanagara|hanur|maaralli|chamarajanagara|hanur|maaralli|2914|1.0
chamarajanagara|hanur|martalli|chamarajanagara|hanur|martalli|2918|1.0
chamarajanagara|hanur|m.m.hills|chamarajanagara|hanur|m.m.hills|2915|1.0
chamarajanagara|hanur|odakehalla|chamarajanagara|hanur|odakehalla|2919|1.0
chamarajanagara|hanur|odeyarapalya|chamarajanagara|hanur|odeyarapalya|2912|1.0
chamarajanagara|hanur|p.g.palya|chamarajanagara|hanur|p.g.palya|2911|1.0
chamarajanagara|hanur|ramapura|chamarajanagara|hanur|ramapura|2916|1.0
chamarajanagara|hanur|shyagyam|chamarajanagara|hanur|shyagyam|2917|1.0
chamarajanagara|kollegala|kamagere|chamarajanagara|kollegala|kamagere|2888|1.0
chamarajanagara|kollegala|kollegal-1|chamarajanagara|kollegala|kollegal-1|2891|1.0
chamarajanagara|kollegala|kothanur|chamarajanagara|kollegala|kothanur|2890|1.0
chamarajanagara|kollegala|kunthur|chamarajanagara|kollegala|kunthur|2889|1.0
chamarajanagara|kollegala|madhuvanahalli|chamarajanagara|kollegala|madhuvanahalli|2892|1.0
chamarajanagara|kollegala|mulluru|chamarajanagara|kollegala|mulluru|2894|1.0
chamarajanagara|kollegala|palya|chamarajanagara|kollegala|palya|9664|1.0
chamarajanagara|kollegala|sathegala|chamarajanagara|kollegala|sathegala|2893|1.0
chamarajanagara|yelandur|agara|chamarajanagara|yelandur|agara|2897|1.0
chamarajanagara|yelandur|gumballi|chamarajanagara|yelandur|gumballi|2902|1.0
chamarajanagara|yelandur|maddur|chamarajanagara|yelandur|maddur|2895|1.0
chamarajanagara|yelandur|yelandur|chamarajanagara|yelandur|yelandur|2896|1.0
chikkaballapura|bagepally|achaganapalli|chikkaballapura|bagepally|achaganapalli|3018|1.0
chikkaballapura|bagepally|bagepally|chikkaballapura|bagepally|bagepally|3007|1.0
chikkaballapura|bagepally|billur|chikkaballapura|bagepally|billur|3008|1.0
chikkaballapura|bagepally|chakavelu|chikkaballapura|bagepally|chakavelu|3009|1.0
chikkaballapura|bagepally|chelur|chikkaballapura|bagepally|chelur|3010|1.0
chikkaballapura|bagepally|g.maddepalli|chikkaballapura|bagepally|g.maddepalli|3016|1.0
chikkaballapura|bagepally|gulur|chikkaballapura|bagepally|gulur|3011|1.0
chikkaballapura|bagepally|marganukunte|chikkaballapura|bagepally|marganukunte|3015|1.0
chikkaballapura|bagepally|mittemari|chikkaballapura|bagepally|mittemari|3012|1.0
chikkaballapura|bagepally|m.nallagutapalli|chikkaballapura|bagepally|m.nallagutapalli|9666|1.0
chikkaballapura|bagepally|palyakere|chikkaballapura|bagepally|palyakere|3019|1.0
chikkaballapura|bagepally|pathapalya|chikkaballapura|bagepally|pathapalya|3013|1.0
chikkaballapura|bagepally|somanathapura|chikkaballapura|bagepally|somanathapura|3017|1.0
chikkaballapura|bagepally|urdu|chikkaballapura|bagepally|urdu|9667|1.0
chikkaballapura|bagepally|yallampalli|chikkaballapura|bagepally|yallampalli|3014|1.0
chikkaballapura|bagepally|yeragudi|chikkaballapura|bagepally|yeragudi|9665|1.0
chikkaballapura|chikkaballapur|chikkaballapur|chikkaballapura|chikkaballapur|chikkaballapur|3026|1.0
chikkaballapura|chikkaballapur|dibbur|chikkaballapura|chikkaballapur|dibbur|3025|1.0
chikkaballapura|chikkaballapur|kondenahalli|chikkaballapura|chikkaballapur|kondenahalli|9668|1.0
chikkaballapura|chikkaballapur|mandikal|chikkaballapura|chikkaballapur|mandikal|3022|1.0
chikkaballapura|chikkaballapur|nandi|chikkaballapura|chikkaballapur|nandi|3021|1.0
chikkaballapura|chikkaballapur|nayanahalli|chikkaballapura|chikkaballapur|nayanahalli|3023|1.0
chikkaballapura|chikkaballapur|peresandra|chikkaballapura|chikkaballapur|peresandra|3027|1.0
chikkaballapura|chikkaballapur|poshettihalli|chikkaballapura|chikkaballapur|poshettihalli|3024|1.0
chikkaballapura|chikkaballapur|r.g. halli|chikkaballapura|chikkaballapur|r.g. halli|3028|1.0
chikkaballapura|chikkaballapur|srirampura|chikkaballapura|chikkaballapur|srirampura|3030|1.0
chikkaballapura|chikkaballapur|vaddrapalya|chikkaballapura|chikkaballapur|vaddrapalya|3029|1.0
chikkaballapura|chintamani|anoor|chikkaballapura|chintamani|anoor|3043|1.0
chikkaballapura|chintamani|batlahalli|chikkaballapura|chintamani|batlahalli|3037|1.0
chikkaballapura|chintamani|buradagunte|chikkaballapura|chintamani|buradagunte|3040|1.0
chikkaballapura|chintamani|buragamakalahalli|chikkaballapura|chintamani|buragamakalahalli|3035|1.0
chikkaballapura|chintamani|chilakalanerpu|chikkaballapura|chintamani|chilakalanerpu|3039|1.0
chikkaballapura|chintamani|chintamani|chikkaballapura|chintamani|chintamani|3033|1.0
chikkaballapura|chintamani|chinthamani-2|chikkaballapura|chintamani|chinthamani-2|3046|1.0
chikkaballapura|chintamani|hirekattigenahalli|chikkaballapura|chintamani|hirekattigenahalli|3036|1.0
chikkaballapura|chintamani|iragampalli|chikkaballapura|chintamani|iragampalli|3045|1.0
chikkaballapura|chintamani|kaiwara|chikkaballapura|chintamani|kaiwara|3032|1.0
chikkaballapura|chintamani|konapalli|chikkaballapura|chintamani|konapalli|3041|1.0
chikkaballapura|chintamani|k raguttahalli|chikkaballapura|chintamani|k raguttahalli|3038|1.0
chikkaballapura|chintamani|muragamalla|chikkaballapura|chintamani|muragamalla|3044|1.0
chikkaballapura|chintamani|talagavara|chikkaballapura|chintamani|talagavara|3042|1.0
chikkaballapura|chintamani|yagavakote|chikkaballapura|chintamani|yagavakote|3034|1.0
chikkaballapura|gowribidanur|alakapura|chikkaballapura|gowribidanur|alakapura|3059|1.0
chikkaballapura|gowribidanur|alipura|chikkaballapura|gowribidanur|alipura|3055|1.0
chikkaballapura|gowribidanur|d palya|chikkaballapura|gowribidanur|d palya|3056|1.0
chikkaballapura|gowribidanur|gowribidanur|chikkaballapura|gowribidanur|gowribidanur|3051|1.0
chikkaballapura|gowribidanur|hosur|chikkaballapura|gowribidanur|hosur|3052|1.0
chikkaballapura|gowribidanur|idagur|chikkaballapura|gowribidanur|idagur|3048|1.0
chikkaballapura|gowribidanur|manchenahalli|chikkaballapura|gowribidanur|manchenahalli|3053|1.0
chikkaballapura|gowribidanur|nagaragere|chikkaballapura|gowribidanur|nagaragere|3054|1.0
chikkaballapura|gowribidanur|namagondlu|chikkaballapura|gowribidanur|namagondlu|3050|1.0
chikkaballapura|gowribidanur|thondebavi|chikkaballapura|gowribidanur|thondebavi|3057|1.0
chikkaballapura|gowribidanur|urdu-1(south)|chikkaballapura|gowribidanur|urdu-1(south)|9670|1.0
chikkaballapura|gowribidanur|urdu-2(north)|chikkaballapura|gowribidanur|urdu-2(north)|9671|1.0
chikkaballapura|gowribidanur|vatada hosahalli|chikkaballapura|gowribidanur|vatada hosahalli|3049|1.0
chikkaballapura|gowribidanur|viduraswatha|chikkaballapura|gowribidanur|viduraswatha|3058|1.0
chikkaballapura|gudibanda|beechaganahalli|chikkaballapura|gudibanda|beechaganahalli|3060|1.0
chikkaballapura|gudibanda|gudibande|chikkaballapura|gudibanda|gudibande|3063|1.0
chikkaballapura|gudibanda|hampasandra|chikkaballapura|gudibanda|hampasandra|3062|1.0
chikkaballapura|gudibanda|somenahalli|chikkaballapura|gudibanda|somenahalli|3061|1.0
chikkaballapura|sidlaghatta|basettyhalli|chikkaballapura|sidlaghatta|basettyhalli|3069|1.0
chikkaballapura|sidlaghatta|bhaktharahalli|chikkaballapura|sidlaghatta|bhaktharahalli|3070|1.0
chikkaballapura|sidlaghatta|cheemangala|chikkaballapura|sidlaghatta|cheemangala|3073|1.0
chikkaballapura|sidlaghatta|dibburahalli|chikkaballapura|sidlaghatta|dibburahalli|3066|1.0
chikkaballapura|sidlaghatta|ergappanahalli|chikkaballapura|sidlaghatta|ergappanahalli|9673|1.0
chikkaballapura|sidlaghatta|gambiranahalli|chikkaballapura|sidlaghatta|gambiranahalli|9674|1.0
chikkaballapura|sidlaghatta|ganjigunte|chikkaballapura|sidlaghatta|ganjigunte|3074|1.0
chikkaballapura|sidlaghatta|jangamakote|chikkaballapura|sidlaghatta|jangamakote|3068|1.0
chikkaballapura|sidlaghatta|melur|chikkaballapura|sidlaghatta|melur|3067|1.0
chikkaballapura|sidlaghatta|palicherlu|chikkaballapura|sidlaghatta|palicherlu|9675|1.0
chikkaballapura|sidlaghatta|sadali|chikkaballapura|sidlaghatta|sadali|3065|1.0
chikkaballapura|sidlaghatta|ullurupate(city-2)|chikkaballapura|sidlaghatta|ullurupate(city-2)|9672|1.0
chikkaballapura|sidlaghatta|y.hunasenahalli|chikkaballapura|sidlaghatta|y.hunasenahalli|3071|1.0
chikkamangalore|biruru|ballavara|chikkamangalore|biruru|ballavara|2071|1.0
chikkamangalore|biruru|banur|chikkamangalore|biruru|banur|2082|1.0
chikkamangalore|biruru|birur m camp|chikkamangalore|biruru|birur m camp|2074|1.0
chikkamangalore|biruru|birur town|chikkamangalore|biruru|birur town|2073|1.0
chikkamangalore|biruru|devanur|chikkamangalore|biruru|devanur|2080|1.0
chikkamangalore|biruru|doddapatanagere|chikkamangalore|biruru|doddapatanagere|2077|1.0
chikkamangalore|biruru|emmedoddi|chikkamangalore|biruru|emmedoddi|2076|1.0
chikkamangalore|biruru|jodihochihalli|chikkamangalore|biruru|jodihochihalli|2078|1.0
chikkamangalore|biruru|k hosahalli|chikkamangalore|biruru|k hosahalli|2075|1.0
chikkamangalore|biruru|lingadahalli|chikkamangalore|biruru|lingadahalli|2072|1.0
chikkamangalore|biruru|nidagatta|chikkamangalore|biruru|nidagatta|2079|1.0
chikkamangalore|biruru|sakrayapatna|chikkamangalore|biruru|sakrayapatna|2081|1.0
chikkamangalore|chikmagalur|aldur|chikkamangalore|chikmagalur|aldur|2036|1.0
chikkamangalore|chikmagalur|allampura|chikkamangalore|chikmagalur|allampura|2035|1.0
chikkamangalore|chikmagalur|amble|chikkamangalore|chikmagalur|amble|2046|1.0
chikkamangalore|chikmagalur|avuthi|chikkamangalore|chikmagalur|avuthi|2038|1.0
chikkamangalore|chikmagalur|belwadi|chikkamangalore|chikmagalur|belwadi|2031|1.0
chikkamangalore|chikmagalur|ckm 01|chikkamangalore|chikmagalur|ckm 01|2027|1.0
chikkamangalore|chikmagalur|ckm 02|chikkamangalore|chikmagalur|ckm 02|2028|1.0
chikkamangalore|chikmagalur|hiregowja|chikkamangalore|chikmagalur|hiregowja|2032|1.0
chikkamangalore|chikmagalur|indhavara|chikkamangalore|chikmagalur|indhavara|2030|1.0
chikkamangalore|chikmagalur|kadavanthi|chikkamangalore|chikmagalur|kadavanthi|2042|1.0
chikkamangalore|chikmagalur|kalasapura|chikkamangalore|chikmagalur|kalasapura|2044|1.0
chikkamangalore|chikmagalur|kathrikere|chikkamangalore|chikmagalur|kathrikere|2039|1.0
chikkamangalore|chikmagalur|machegondanahalli|chikkamangalore|chikmagalur|machegondanahalli|2041|1.0
chikkamangalore|chikmagalur|mallandur|chikkamangalore|chikmagalur|mallandur|2033|1.0
chikkamangalore|chikmagalur|mallenahalli|chikkamangalore|chikmagalur|mallenahalli|2037|1.0
chikkamangalore|chikmagalur|marle|chikkamangalore|chikmagalur|marle|2045|1.0
chikkamangalore|chikmagalur|milemane|chikkamangalore|chikmagalur|milemane|2043|1.0
chikkamangalore|chikmagalur|s m pet|chikkamangalore|chikmagalur|s m pet|2040|1.0
chikkamangalore|chikmagalur|urdu ckm|chikkamangalore|chikmagalur|urdu ckm|2047|1.0
chikkamangalore|chikmagalur|vasthare|chikkamangalore|chikmagalur|vasthare|2034|1.0
chikkamangalore|kadur|anegere|chikkamangalore|kadur|anegere|2011|1.0
chikkamangalore|kadur|annigere(9 cross)|chikkamangalore|kadur|annigere(9 cross)|2013|1.0
chikkamangalore|kadur|biluvala|chikkamangalore|kadur|biluvala|2014|1.0
chikkamangalore|kadur|bisalere|chikkamangalore|kadur|bisalere|2015|1.0
chikkamangalore|kadur|chowlahiriyar|chikkamangalore|kadur|chowlahiriyar|2003|1.0
chikkamangalore|kadur|hirenellur|chikkamangalore|kadur|hirenellur|2002|1.0
chikkamangalore|kadur|hochihalli|chikkamangalore|kadur|hochihalli|2005|1.0
chikkamangalore|kadur|kadur east|chikkamangalore|kadur|kadur east|9640|1.0
chikkamangalore|kadur|kadur rural|chikkamangalore|kadur|kadur rural|2007|1.0
chikkamangalore|kadur|kadur west|chikkamangalore|kadur|kadur west|9639|1.0
chikkamangalore|kadur|mattigatta|chikkamangalore|kadur|mattigatta|2008|1.0
chikkamangalore|kadur|panchanahalli|chikkamangalore|kadur|panchanahalli|2009|1.0
chikkamangalore|kadur|singatagere|chikkamangalore|kadur|singatagere|2006|1.0
chikkamangalore|kadur|yagati|chikkamangalore|kadur|yagati|2004|1.0
chikkamangalore|kadur|y mallapura|chikkamangalore|kadur|y mallapura|2012|1.0
chikkamangalore|koppa|agalagandi|chikkamangalore|koppa|agalagandi|1966|1.0
chikkamangalore|koppa|balagady|chikkamangalore|koppa|balagady|1964|1.0
chikkamangalore|koppa|hariharapura|chikkamangalore|koppa|hariharapura|1969|1.0
chikkamangalore|koppa|herur|chikkamangalore|koppa|herur|1973|1.0
chikkamangalore|koppa|jayapura|chikkamangalore|koppa|jayapura|1970|1.0
chikkamangalore|koppa|kammaradi|chikkamangalore|koppa|kammaradi|1967|1.0
chikkamangalore|koppa|koppa gramantara|chikkamangalore|koppa|koppa gramantara|1976|1.0
chikkamangalore|koppa|koppa pattana|chikkamangalore|koppa|koppa pattana|1962|1.0
chikkamangalore|koppa|narve|chikkamangalore|koppa|narve|1975|1.0
chikkamangalore|koppa|niluvagilu|chikkamangalore|koppa|niluvagilu|1965|1.0
chikkamangalore|koppa|shantigram|chikkamangalore|koppa|shantigram|1974|1.0
chikkamangalore|moodigere|bankal|chikkamangalore|moodigere|bankal|2055|1.0
chikkamangalore|moodigere|bettadamane|chikkamangalore|moodigere|bettadamane|2053|1.0
chikkamangalore|moodigere|billuru|chikkamangalore|moodigere|billuru|2051|1.0
chikkamangalore|moodigere|chinniga|chikkamangalore|moodigere|chinniga|2052|1.0
chikkamangalore|moodigere|gowdahalli|chikkamangalore|moodigere|gowdahalli|2061|1.0
chikkamangalore|moodigere|halike|chikkamangalore|moodigere|halike|2062|1.0
chikkamangalore|moodigere|hesgal|chikkamangalore|moodigere|hesgal|2049|1.0
chikkamangalore|moodigere|hirebylu|chikkamangalore|moodigere|hirebylu|2058|1.0
chikkamangalore|moodigere|javali|chikkamangalore|moodigere|javali|2057|1.0
chikkamangalore|moodigere|kalasa|chikkamangalore|moodigere|kalasa|2059|1.0
chikkamangalore|moodigere|mudigere|chikkamangalore|moodigere|mudigere|2048|1.0
chikkamangalore|moodigere|niduvale|chikkamangalore|moodigere|niduvale|2056|1.0
chikkamangalore|moodigere|phalguni|chikkamangalore|moodigere|phalguni|2064|1.0
chikkamangalore|moodigere|samse|chikkamangalore|moodigere|samse|2060|1.0
chikkamangalore|moodigere|urdu mudigere|chikkamangalore|moodigere|urdu mudigere|2063|1.0
chikkamangalore|narasimharajapura|balehonnur|chikkamangalore|narasimharajapura|balehonnur|1983|1.0
chikkamangalore|narasimharajapura|gadigeshwara|chikkamangalore|narasimharajapura|gadigeshwara|1982|1.0
chikkamangalore|narasimharajapura|karkeshwara|chikkamangalore|narasimharajapura|karkeshwara|1984|1.0
chikkamangalore|narasimharajapura|moodabagilu|chikkamangalore|narasimharajapura|moodabagilu|1980|1.0
chikkamangalore|narasimharajapura|muthina koppa|chikkamangalore|narasimharajapura|muthina koppa|1978|1.0
chikkamangalore|narasimharajapura|n r pura|chikkamangalore|narasimharajapura|n r pura|1977|1.0
chikkamangalore|narasimharajapura|sankadakuni|chikkamangalore|narasimharajapura|sankadakuni|1981|1.0
chikkamangalore|narasimharajapura|shettikoppa|chikkamangalore|narasimharajapura|shettikoppa|1979|1.0
chikkamangalore|sringeri|menase|chikkamangalore|sringeri|menase|1958|1.0
chikkamangalore|sringeri|nallur|chikkamangalore|sringeri|nallur|1960|1.0
chikkamangalore|sringeri|nemmaru|chikkamangalore|sringeri|nemmaru|1959|1.0
chikkamangalore|sringeri|sringere pattana|chikkamangalore|sringeri|sringere pattana|1961|1.0
chikkamangalore|sringeri|vidyanagar|chikkamangalore|sringeri|vidyanagar|1957|1.0
chikkamangalore|tarikere|ajjampura|chikkamangalore|tarikere|ajjampura|1985|1.0
chikkamangalore|tarikere|belenahalli|chikkamangalore|tarikere|belenahalli|1987|1.0
chikkamangalore|tarikere|bettadahalli|chikkamangalore|tarikere|bettadahalli|1988|1.0
chikkamangalore|tarikere|bhavikere|chikkamangalore|tarikere|bhavikere|1986|1.0
chikkamangalore|tarikere|bukkambudi|chikkamangalore|tarikere|bukkambudi|1989|1.0
chikkamangalore|tarikere|kallenahalli|chikkamangalore|tarikere|kallenahalli|1999|1.0
chikkamangalore|tarikere|kasaba|chikkamangalore|tarikere|kasaba|1997|1.0
chikkamangalore|tarikere|kudlur|chikkamangalore|tarikere|kudlur|1990|1.0
