dise dist|dise block|dise_cluster|klp dist|klp block|klp_cluster|check
bagalkot|jamakhandi|urdu savalagi|bagalkot|jamakhandi|urdu savalagi|9495|1.0
bagalkot|mudhol|chichkhandi|bagalkot|mudhol|chichkhandi|9505|1.0
bagalkot|mudhol|hebbal|bagalkot|mudhol|hebbal|780|1.0
bagalkot|mudhol|lokapur|bagalkot|mudhol|lokapur|773|1.0
bagalkot|mudhol|mahalingapur kgs|bagalkot|mudhol|mahalingapur kgs|778|1.0
bagalkot|mudhol|mahalingapur mps|bagalkot|mudhol|mahalingapur mps|779|1.0
bagalkot|mudhol|mantur|bagalkot|mudhol|mantur|9507|1.0
bagalkot|mudhol|mudhol purva|bagalkot|mudhol|mudhol purva|9506|1.0
bagalkot|mudhol|mudhol rm school|bagalkot|mudhol|mudhol rm school|774|1.0
bagalkot|mudhol|shirol|bagalkot|mudhol|shirol|9504|1.0
bagalkot|mudhol|surgaon|bagalkot|mudhol|surgaon|777|1.0
bagalkot|mudhol|urdu mahaling|bagalkot|mudhol|urdu mahaling|9555|1.0
bagalkot|mudhol|urdu mudhol|bagalkot|mudhol|urdu mudhol|9508|1.0
bagalkot|mudhol|uttur|bagalkot|mudhol|uttur|781|1.0
bagalkot|mudhol|yadahalli ingalagi|bagalkot|mudhol|yadahalli ingalagi|776|1.0
bangalore rural|devanahalli|bidaluru|bangalore rural|devanahalli|bidaluru|2374|1.0
bangalore rural|devanahalli|bijjavara|bangalore rural|devanahalli|bijjavara|2375|1.0
bangalore rural|devanahalli|boodigere|bangalore rural|devanahalli|boodigere|9092|1.0
bangalore rural|devanahalli|channahalli|bangalore rural|devanahalli|channahalli|2377|1.0
bangalore rural|devanahalli|channarayapatna|bangalore rural|devanahalli|channarayapatna|2378|1.0
bangalore rural|devanahalli|jalige|bangalore rural|devanahalli|jalige|2379|1.0
bangalore rural|devanahalli|nalluru|bangalore rural|devanahalli|nalluru|2381|1.0
bangalore rural|devanahalli|sadahalli|bangalore rural|devanahalli|sadahalli|2376|1.0
bangalore rural|devanahalli|venkatagirikote|bangalore rural|devanahalli|venkatagirikote|2373|1.0
bangalore rural|devanahalli|vijaypaura|bangalore rural|devanahalli|vijaypaura|2428|1.0
bangalore rural|devanahalli|vishwanathapura|bangalore rural|devanahalli|vishwanathapura|2380|1.0
bangalore rural|doddaballapura|aroodi|bangalore rural|doddaballapura|aroodi|2357|1.0
bangalore rural|doddaballapura|bashettihalli|bangalore rural|doddaballapura|bashettihalli|2356|1.0
bangalore rural|doddaballapura|dargajogihalli|bangalore rural|doddaballapura|dargajogihalli|2361|1.0
bangalore rural|doddaballapura|dodda ballapura town|bangalore rural|doddaballapura|dodda ballapura town|2371|1.0
bangalore rural|doddaballapura|dodda belavangala|bangalore rural|doddaballapura|dodda belavangala|2359|1.0
bangalore rural|doddaballapura|hadonahalli|bangalore rural|doddaballapura|hadonahalli|2362|1.0
bangalore rural|doddaballapura|hanabe|bangalore rural|doddaballapura|hanabe|2370|1.0
bangalore rural|doddaballapura|hulikunte|bangalore rural|doddaballapura|hulikunte|2364|1.0
bangalore rural|doddaballapura|kadathippuru|bangalore rural|doddaballapura|kadathippuru|2366|1.0
bangalore rural|doddaballapura|kanasavadi|bangalore rural|doddaballapura|kanasavadi|2363|1.0
bangalore rural|doddaballapura|madhure kodihalli|bangalore rural|doddaballapura|madhure kodihalli|2358|1.0
bangalore rural|doddaballapura|melekote|bangalore rural|doddaballapura|melekote|2368|1.0
bangalore rural|doddaballapura|rajaghatta|bangalore rural|doddaballapura|rajaghatta|2367|1.0
bangalore rural|doddaballapura|sakkare gollahalli|bangalore rural|doddaballapura|sakkare gollahalli|2365|1.0
bangalore rural|doddaballapura|thippuru|bangalore rural|doddaballapura|thippuru|2369|1.0
bangalore rural|doddaballapura|tubugere|bangalore rural|doddaballapura|tubugere|2360|1.0
bangalore rural|hosakote|alappanahalli|bangalore rural|hosakote|alappanahalli|2388|1.0
bangalore rural|hosakote|beguru|bangalore rural|hosakote|beguru|2390|1.0
bangalore rural|hosakote|bendiganahalli|bangalore rural|hosakote|bendiganahalli|2383|1.0
bangalore rural|hosakote|bylanarasapura|bangalore rural|hosakote|bylanarasapura|9074|1.0
bangalore rural|hosakote|devanagundi|bangalore rural|hosakote|devanagundi|2395|1.0
bangalore rural|hosakote|doddagattiganabbe|bangalore rural|hosakote|doddagattiganabbe|9075|1.0
bangalore rural|hosakote|doddahulluru|bangalore rural|hosakote|doddahulluru|9077|1.0
bangalore rural|hosakote|doddanallala|bangalore rural|hosakote|doddanallala|9079|1.0
bangalore rural|hosakote|hosakote town|bangalore rural|hosakote|hosakote town|2396|1.0
bangalore rural|hosakote|jadigenahalli|bangalore rural|hosakote|jadigenahalli|2393|1.0
bangalore rural|hosakote|kalkunte|bangalore rural|hosakote|kalkunte|2387|1.0
bangalore rural|hosakote|mugabala|bangalore rural|hosakote|mugabala|9078|1.0
bangalore rural|hosakote|nandagudi|bangalore rural|hosakote|nandagudi|2385|1.0
bangalore rural|hosakote|nelavagilu|bangalore rural|hosakote|nelavagilu|2391|1.0
bangalore rural|hosakote|samethanahalli|bangalore rural|hosakote|samethanahalli|2394|1.0
bangalore rural|hosakote|shivanapura|bangalore rural|hosakote|shivanapura|2384|1.0
bangalore rural|hosakote|sulibele|bangalore rural|hosakote|sulibele|2389|1.0
bangalore rural|hosakote|t agrahara|bangalore rural|hosakote|t agrahara|9080|1.0
bangalore rural|hosakote|thavarekere|bangalore rural|hosakote|thavarekere|2392|1.0
