Klp-district|Klp-blckid|Klp-block|Dise-district|Dise-block
bangalore u north|8882|north-1|bangalore u north|north1
bangalore u north|8883|north-2|bangalore u north|north2
bangalore u north|8886|north-3|bangalore u north|north3
bangalore u north|8884|north-4|bangalore u north|north4
bangalore u south|8879|south-1|bangalore u south|south1
bangalore u south|8880|south-2|bangalore u south|south2
bangalore u south|8881|south-3|bangalore u south|south3
bangalore u south|8885|south-4|bangalore u south|south4
belgaum|458|belgaum rural|belgaum|belgaum rural.
