       district       |       block        |                name                |  id  |  id  |  id   
 bagalkot             | mudhol             | mahalingapur mps                   |414|467|779
 bagalkot             | mudhol             | hebbal                             |414|467|780
 bagalkot             | mudhol             | uttur                              |414|467|781
 bagalkot             | mudhol             | shirol                             |414|467|9504
 bagalkot             | mudhol             | chichkhandi                        |414|467|9505
 bagalkot             | mudhol             | mudhol purva                       |414|467|9506
 bagalkot             | mudhol             | mantur                             |414|467|9507
 bagalkot             | mudhol             | urdu mudhol                        |414|467|9508
 bagalkot             | mudhol             | urdu mahaling                      |414|467|9555
 bagalkot             | mudhol             | belagali                           |414|467|9738
 bagalkot             | mudhol             | bhantanur                          |414|467|9739
 bagalkot             | mudhol             | lakshanatti                        |414|467|9740
 bagalkot             | mudhol             | machakanur                         |414|467|9741
 bagalkot             | mudhol             | madabhavi                          |414|467|9742
 bagalkot             | mudhol             | mugalkhod                          |414|467|9743
 bagalkot             | mudhol             | saidapur                           |414|467|9744
 bangalore rural      | devanahalli        | venkatagirikote                    |433|586|2373
 bangalore rural      | devanahalli        | bidaluru                           |433|586|2374
 bangalore rural      | devanahalli        | bijjavara                          |433|586|2375
 bangalore rural      | devanahalli        | sadahalli                          |433|586|2376
 bangalore rural      | devanahalli        | channahalli                        |433|586|2377
 bangalore rural      | devanahalli        | channarayapatna                    |433|586|2378
 bangalore rural      | devanahalli        | jalige                             |433|586|2379
 bangalore rural      | devanahalli        | vishwanathapura                    |433|586|2380
 bangalore rural      | devanahalli        | nalluru                            |433|586|2381
 bangalore rural      | devanahalli        | devanahalli town                   |433|586|2382
 bangalore rural      | devanahalli        | vijaypaura                         |433|586|2428
 bangalore rural      | devanahalli        | boodigere                          |433|586|9092
 bangalore rural      | devanahalli        | doddasanne                         |433|586|9745
 bangalore rural      | devanahalli        | gudlumuddenahalli                  |433|586|9746
 bangalore rural      | devanahalli        | koira                              |433|586|9747
 bangalore rural      | devanahalli        | kundana                            |433|586|9748
 bangalore rural      | devanahalli        | yeliyuru                           |433|586|9749
 bangalore rural      | doddaballapura     | bashettihalli                      |433|585|2356
 bangalore rural      | doddaballapura     | aroodi                             |433|585|2357
 bangalore rural      | doddaballapura     | madhure kodihalli                  |433|585|2358
 bangalore rural      | doddaballapura     | dodda belavangala                  |433|585|2359
 bangalore rural      | doddaballapura     | tubugere                           |433|585|2360
 bangalore rural      | doddaballapura     | dargajogihalli                     |433|585|2361
 bangalore rural      | doddaballapura     | hadonahalli                        |433|585|2362
 bangalore rural      | doddaballapura     | kanasavadi                         |433|585|2363
 bangalore rural      | doddaballapura     | hulikunte                          |433|585|2364
 bangalore rural      | doddaballapura     | sakkare gollahalli                 |433|585|2365
 bangalore rural      | doddaballapura     | kadathippuru                       |433|585|2366
 bangalore rural      | doddaballapura     | rajaghatta                         |433|585|2367
 bangalore rural      | doddaballapura     | melekote                           |433|585|2368
 bangalore rural      | doddaballapura     | thippuru                           |433|585|2369
 bangalore rural      | doddaballapura     | hanabe                             |433|585|2370
 bangalore rural      | doddaballapura     | dodda ballapura town               |433|585|2371
 bangalore rural      | doddaballapura     | anjanamurthynagara                 |433|585|9750
 bangalore rural      | doddaballapura     | aralumallige                       |433|585|9751
 bangalore rural      | doddaballapura     | aralumallige bagilu                |433|585|9752
 bangalore rural      | doddaballapura     | channaveeranahalli                 |433|585|9753
 bangalore rural      | doddaballapura     | heggadihalli                       |433|585|9754
 bangalore rural      | doddaballapura     | honnawara                          |433|585|9755
 bangalore rural      | doddaballapura     | hosahalli                          |433|585|9756
 bangalore rural      | doddaballapura     | kacheripalya                       |433|585|9757
 bangalore rural      | doddaballapura     | kesthuru                           |433|585|9758
 bangalore rural      | doddaballapura     | muthasandra                        |433|585|9759
 bangalore rural      | doddaballapura     | sasalu                             |433|585|9760
 bangalore rural      | doddaballapura     | s s ghati                          |433|585|9761
 bangalore rural      | hosakote           | bendiganahalli                     |433|587|2383
 bangalore rural      | hosakote           | shivanapura                        |433|587|2384
 bangalore rural      | hosakote           | nandagudi                          |433|587|2385
 bangalore rural      | hosakote           | vagata                             |433|587|2386
 bangalore rural      | hosakote           | kalkunte                           |433|587|2387
 bangalore rural      | hosakote           | alappanahalli                      |433|587|2388
 bangalore rural      | hosakote           | sulibele                           |433|587|2389
 bangalore rural      | hosakote           | beguru                             |433|587|2390
 bangalore rural      | hosakote           | nelavagilu                         |433|587|2391
 bangalore rural      | hosakote           | thavarekere                        |433|587|2392
 bangalore rural      | hosakote           | jadigenahalli                      |433|587|2393
 bangalore rural      | hosakote           | samethanahalli                     |433|587|2394
 bangalore rural      | hosakote           | devanagundi                        |433|587|2395
 bangalore rural      | hosakote           | hosakote town                      |433|587|2396
 bangalore rural      | hosakote           | bylanarasapura                     |433|587|9074
 bangalore rural      | hosakote           | doddagattiganabbe                  |433|587|9075
 bangalore rural      | hosakote           | doddahulluru                       |433|587|9077
 bangalore rural      | hosakote           | mugabala                           |433|587|9078
 bangalore rural      | hosakote           | doddanallala                       |433|587|9079
 bangalore rural      | hosakote           | t agrahara                         |433|587|9080
 bangalore rural      | hosakote           | urdu -1                            |433|587|9762
 bangalore rural      | hosakote           | urdu - 2                           |433|587|9763
 bangalore rural      | nelamangala        | kuluvanahalli                      |433|584|2346
 bangalore rural      | nelamangala        | t. beguru                          |433|584|2347
 bangalore rural      | nelamangala        | shivagange                         |433|584|2348
 bangalore rural      | nelamangala        | narasipura                         |433|584|2349
 bangalore rural      | nelamangala        | yantaganahalli                     |433|584|2350
 bangalore rural      | nelamangala        | manne                              |433|584|2351
 bangalore rural      | nelamangala        | sompura                            |433|584|2352
 bangalore rural      | nelamangala        | dodda bele                         |433|584|2353
 bangalore rural      | nelamangala        | thyamagondlu                       |433|584|2354
 bangalore rural      | nelamangala        | basavanahalli                      |433|584|2355
 bangalore rural      | nelamangala        | agalakuppe                         |433|584|9764
 bangalore rural      | nelamangala        | arasinakunte                       |433|584|9765
 bangalore rural      | nelamangala        | arebommanahalli                    |433|584|9766
 bangalore rural      | nelamangala        | bommanahalli                       |433|584|9767
 bangalore rural      | nelamangala        | hanumanthegowdanapalya             |433|584|9768
 bangalore rural      | nelamangala        | hasuruvalli                        |433|584|9769
 bangalore rural      | nelamangala        | honnenahalli                       |433|584|9770
 bangalore rural      | nelamangala        | kempalinganahalli                  |433|584|9771
 bangalore rural      | nelamangala        | maralakunte                        |433|584|9772
 bangalore rural      | nelamangala        | nelamangala town                   |433|584|9773
 bangalore rural      | nelamangala        | soladevanahalli                    |433|584|9774
 bangalore rural      | nelamangala        | urdu nelamangala                   |433|584|9775
 bangalore u north    | north-1            | byadara halli                      |9540|8882|8894
 bangalore u north    | north-1            | chikkabidara kallu                 |9540|8882|8904
 bangalore u north    | north-1            | heggana halli                      |9540|8882|8913
 bangalore u north    | north-1            | kamakshi palya                     |9540|8882|8922
 bangalore u north    | north-1            | krishnananda nagara                |9540|8882|8930
 bangalore u north    | north-1            | kurubara halli                     |9540|8882|8938
 bangalore u north    | north-1            | laggere                            |9540|8882|8945
 bangalore u north    | north-1            | macho halli                        |9540|8882|8952
 bangalore u north    | north-1            | shiva nagar                        |9540|8882|8957
 bangalore u north    | north-1            | ullau new town                     |9540|8882|9003
 bangalore u north    | north-1            | mallasandra                        |9540|8882|9004
 bangalore u north    | north-1            | madanayakanahalli                  |9540|8882|9005
