dist|blck|clst|village|pin|dise|name|dist|blck|clst|klpid|name|dise
 BAGALKOT             | BADAMI             | HANSANUR                           | KUTAKANKERI                      |587201|29020109401| GOVT HPS KUTAKANAKERI| bagalkot          | badami             | katageri                  |1839| GOVT HPS KUTAKANAKERI                                      |29020109401
 BAGALKOT             | BADAMI             | KATAGERI                           | LAKKASAKOPPA                     |587205|29020109601| GOVT HPS LAKKASAKOPP| bagalkot          | badami             | katageri                  |1841| GOVT HPS LAKKASAKOPP                                       |29020109601
 BAGALKOT             | BADAMI             | HALAKURKI                          | CHIKKAMUCHALAGUD                 |587201|29020102101| GOVT HPS CHIKKAMUCHALAGUD| bagalkot          | badami             | halakurki                 |1844| GOVT HPS CHIKKAMUCHALAGUD                                  |29020102101
 BAGALKOT             | BADAMI             | INAM HULLIKERI                     | GUBBERKOPP                       |587201|29020103401| GOVT LPS GUBBERAKOPP| bagalkot          | badami             | halakurki                 |1845| GOVT LPS GUBBERAKOPP                                       |29020103401
 BAGALKOT             | BADAMI             | HALAKURKI                          | HALAKURKI                        |587201|29020103901| GOVT HPS HALAKURKI| bagalkot          | badami             | halakurki                 |1846| GOVT HPS HALAKURKI                                         |29020103901
 BAGALKOT             | BADAMI             | HALAKURKI                          | HIREMUCHALGUDDA                  |587201|29020105101| GOVT HPS HIREMUCHALGUDDA| bagalkot          | badami             | halakurki                 |1848| GOVT HPS HIREMUCHALGUDDA                                   |29020105101
 BAGALKOT             | BADAMI             | HALAKURKI                          | KABBALAGERI                      |587201|29020106501| GOVT HPS KABBALAGERI| bagalkot          | badami             | halakurki                 |1850| GOVT HPS KABBALAGERI                                       |29020106501
 BAGALKOT             | BADAMI             | INAM HULLIKERI                     | KADAPATTI SK                     |587201|29020106601| LPS KADAPATTI| bagalkot          | badami             | halakurki                 |1851| LPS KADAPATTI                                              |29020106601
 BAGALKOT             | BADAMI             | HALAKURKI                          | KENDUR                           |587201|29020108301| GOVT HPS KENDUR| bagalkot          | badami             | halakurki                 |1852| GOVT HPS KENDUR                                            |29020108301
 BAGALKOT             | BADAMI             | INAM HULLIKERI                     | MATTIKATTI                       |587206|29020110601| GOVT HPS MATTIKATTI| bagalkot          | badami             | halakurki                 |1855| GOVT HPS MATTIKATTI                                        |29020110601
 BAGALKOT             | BADAMI             | INAM HULLIKERI                     | YANKANCHI                        |587201|29020114401| GOVT MPS YANKANCHI MANINAGAR| bagalkot          | badami             | halakurki                 |1856| GOVT MPS YANKANCHI MANINAGAR                               |29020114401
 BAGALKOT             | BADAMI             | NEELAGUND                          | HALAGERI                         |587206|29020103801| GOVT HPS HALAGERI| bagalkot          | badami             | kerur                     |1857| GOVT HPS HALAGERI                                          |29020103801
 BAGALKOT             | BADAMI             | MUTTALAGERI                        | HANAMASAGAR                      |587155|29020104301| GOVT HPS HANAMASAGAR| bagalkot          | badami             | kerur                     |1858| GOVT HPS HANAMASAGAR                                       |29020104301
 BAGALKOT             | BADAMI             | MUTTALAGERI                        | KARADIGUDDA SN                   |587206|29020107602| GOVT HPS KARADIGUDD SN| bagalkot          | badami             | kerur                     |1860| GOVT HPS KARADIGUDD SN                                     |29020107602
 BAGALKOT             | BADAMI             | KERUR                              | KERUR WARD NO.5                  |587206|29020119802| GOVT KGS KERUR| bagalkot          | badami             | kerur                     |1861| GOVT KGS KERUR                                             |29020119802
 BAGALKOT             | BADAMI             | URDU BADAMI                        | KERUR WARD NO.6                  |587206|29020119901| GOVT UBS KERUR| bagalkot          | badami             | kerur                     |1862| GOVT UBS KERUR                                             |29020119901
 BAGALKOT             | BADAMI             | URDU BADAMI                        | KERUR WARD NO.6                  |587206|29020119902| GOVT UGS KERUR| bagalkot          | badami             | kerur                     |1863| GOVT UGS KERUR                                             |29020119902
 BAGALKOT             | BADAMI             | KERUR                              | KERUR WARD NO.14                 |587206|29020120701| GOVT HPS KERUR (KILLA)| bagalkot          | badami             | kerur                     |1864| GOVT HPS KERUR (KILLA)                                     |29020120701
 BAGALKOT             | BADAMI             | KERUR                              | KERUR WARD NO.15                 |587206|29020120801| GOVT LPS BELAGANTI KERUR| bagalkot          | badami             | kerur                     |1865| GOVT LPS BELAGANTI KERUR                                   |29020120801
 BAGALKOT             | BADAMI             | KERUR                              | KERUR WARD NO.2                  |587206|29020119501| GOVT HPS HALPET KERUR| bagalkot          | badami             | kerur                     |1866| GOVT HPS HALPET KERUR                                      |29020119501
 BAGALKOT             | BADAMI             | KERUR                              | KERUR WARD NO.5                  |587206|29020119801| GOVT MPS KERUR| bagalkot          | badami             | kerur                     |1867| GOVT MPS KERUR                                             |29020119801
 BAGALKOT             | BADAMI             | KERUR                              | KERUR WARD NO.15                 |587206|29020120802| GOVT LPS SARVESHWAR KERUR| bagalkot          | badami             | kerur                     |1868| GOVT LPS SARVESHWAR KERUR                                  |29020120802
 BAGALKOT             | BADAMI             | URDU BADAMI                        | KERUR WARD NO.1                  |587206|29020119401| UBLPS DARGA KERUR| bagalkot          | badami             | kerur                     |1869| UBLPS DARGA KERUR                                          |29020119401
 BAGALKOT             | BADAMI             | KERUR                              | KERUR WARD NO.2                  |587206|29020119502| GOVT LPS CHINAGUNDI PLOT KERUR| bagalkot          | badami             | kerur                     |1870| GOVT LPS CHINAGUNDI PLOT KERUR                             |29020119502
 BAGALKOT             | BADAMI             | NEELAGUND                          | MAMATAGERI                       |587155|29020110101| GOVT HPS MAMATAGERI| bagalkot          | badami             | kerur                     |1871| GOVT HPS MAMATAGERI                                        |29020110101
 BAGALKOT             | BADAMI             | MUTTALAGERI                        | MUSTIGERI                        |587206|29020110901| GOVT HPS MUSTIGERI| bagalkot          | badami             | muttalageri               |1872| GOVT HPS MUSTIGERI                                         |29020110901
 BAGALKOT             | BADAMI             | NEELAGUND                          | TAPPASAKATTI                     |587206|29020113601| GOVT HPS TAPPASAKATTI| bagalkot          | badami             | kerur                     |1875| GOVT HPS TAPPASAKATTI                                      |29020113601
 BAGALKOT             | BADAMI             | NEELAGUND                          | UGALAWAT                         |587206|29020114101| GOVT HPS UGALAWAT| bagalkot          | badami             | kerur                     |1876| GOVT HPS UGALAWAT                                          |29020114101
 BAGALKOT             | BADAMI             | KULAGERI CROSS                     | ALUR  SK                         |587155|29020100401| GOVT HPS ALUR SK| bagalkot          | badami             | kulageri cross            |1877| GOVT HPS ALUR SK                                           |29020100401
 BAGALKOT             | BADAMI             | NEELAGUND                          | BANKANERI                        |587155|29020101301| GOVT HPS BANKANERI| bagalkot          | badami             | kulageri cross            |1878| GOVT HPS BANKANERI                                         |29020101301
 BAGALKOT             | BADAMI             | NEELAGUND                          | BELVALAKOPPA                     |587155|29020101501| GOVT HPS BELAVALKOPPA| bagalkot          | badami             | kulageri cross            |1879| GOVT HPS BELAVALKOPPA                                      |29020101501
 BAGALKOT             | BADAMI             | KULAGERI CROSS                     | BEERANOOR                        |587155|29020101801| GOVT HPS BEERANOOR| bagalkot          | badami             | kulageri cross            |1880| GOVT HPS BEERANOOR                                         |29020101801
 BAGALKOT             | BADAMI             | KULAGERI CROSS                     | CHIMMANAKATTI                    |587155|29020102401| GOVT HPS CHIMMANAKATTI| bagalkot          | badami             | kulageri cross            |1881| GOVT HPS CHIMMANAKATTI                                     |29020102401
 BAGALKOT             | BADAMI             | KULAGERI CROSS                     | CHIRALKOPPA                      |587155|29020102601| GOVT HPS CHIRALKOPPA| bagalkot          | badami             | kulageri cross            |1883| GOVT HPS CHIRALKOPPA                                       |29020102601
 BAGALKOT             | BADAMI             | KULAGERI CROSS                     | KAKANUR                          |587155|29020107101| GOVT HPS KAKANUR| bagalkot          | badami             | kulageri cross            |1885| GOVT HPS KAKANUR                                           |29020107101
 BAGALKOT             | BADAMI             | KULAGERI CROSS                     | KAKANUR                          |587155|29020107102| GOVT KGS KAKNUR| bagalkot          | badami             | kulageri cross            |1886| GOVT KGS KAKNUR                                            |29020107102
 BAGALKOT             | BADAMI             | KULAGERI CROSS                     | KARALKOPPA                       |587155|29020107701| GOVT HPS KARALKOPPA H| bagalkot          | badami             | kulageri cross            |1887| GOVT HPS KARALKOPPA H                                      |29020107701
 BAGALKOT             | BADAMI             | KULAGERI CROSS                     | KULAGERI                         |587155|29020109304| HPS KULAGERI CROSS| bagalkot          | badami             | kulageri cross            |1890| HPS KULAGERI CROSS                                         |29020109304
 BAGALKOT             | BADAMI             | KULAGERI CROSS                     | NARASAPUR                        |587155|29020111401| GOVT HPS NARASAPUR| bagalkot          | badami             | kulageri cross            |1891| GOVT HPS NARASAPUR                                         |29020111401
 BAGALKOT             | BADAMI             | NEELAGUND                          | NEELGUND                         |587201|29020111801| GOVT MPS NEELAGUND| bagalkot          | badami             | neelagund                 |1892| GOVT MPS NEELAGUND                                         |29020111801
 BAGALKOT             | BADAMI             | KULAGERI CROSS                     | SOMANAKOPPA                      |587155|29020113001| GOVT HPS SOMANAKOPPA| bagalkot          | badami             | kulageri cross            |1894| GOVT HPS SOMANAKOPPA                                       |29020113001
 BAGALKOT             | BADAMI             | KULAGERI CROSS                     | TALAKAWAD                        |587155|29020113401| GOVT HPS TALAKWAD| bagalkot          | badami             | kulageri cross            |1895| GOVT HPS TALAKWAD                                          |29020113401
 BAGALKOT             | BADAMI             | NEELAGUND                          | TIMMAPUR SN                      |587201|29020113801| GOVT HPS TIMMAPUR S N| bagalkot          | badami             | kulageri cross            |1896| GOVT HPS TIMMAPUR S N                                      |29020113801
 BAGALKOT             | BADAMI             | CHOLACHAGUDDA                      | BUDIHAL SJ                       |587201|29020102001| GOVT HPS BUDIHAL SJ| bagalkot          | badami             | hebballi                  |1898| GOVT HPS BUDIHAL SJ                                        |29020102001
 BAGALKOT             | BADAMI             | CHOLACHAGUDDA                      | CHIKNASABI                       |587114|29020102201| GOVT LPS CHIKNASABI| bagalkot          | badami             | hebballi                  |1899| GOVT LPS CHIKNASABI                                        |29020102201
 BAGALKOT             | BADAMI             | HEBBALLI                           | GOVANAKOP                        |587155|29020103301| GOVT HPS GOVANAKOPP| bagalkot          | badami             | hebballi                  |1900| GOVT HPS GOVANAKOPP                                        |29020103301
 BAGALKOT             | BADAMI             | HEBBALLI                           | HEBBALLI                         |587201|29020104901| GOVT HPS HEBBALLI| bagalkot          | badami             | hebballi                  |1901| GOVT HPS HEBBALLI                                          |29020104901
 BAGALKOT             | BADAMI             | HEBBALLI                           | HEBBALLI                         |587201|29020104902| GOVT KGHPS HEBBALLI| bagalkot          | badami             | hebballi                  |1902| GOVT KGHPS HEBBALLI                                        |29020104902
 BAGALKOT             | BADAMI             | CHOLACHAGUDDA                      | JAKANUR                          |587201|29020106001| GOVT HPS JAKANUR| bagalkot          | badami             | hebballi                  |1905| GOVT HPS JAKANUR                                           |29020106001
 BAGALKOT             | BADAMI             | HEBBALLI                           | KALAS                            |587155|29020107301| GOVT LPS KALAS| bagalkot          | badami             | hebballi                  |1906| GOVT LPS KALAS                                             |29020107301
 BAGALKOT             | BADAMI             | HEBBALLI                           | KALAS                            |587155|29020107302| GOVT KBLPS INGALAGUNDI| bagalkot          | badami             | hebballi                  |1907| GOVT KBLPS INGALAGUNDI                                     |29020107302
 BAGALKOT             | BADAMI             | CHOLACHAGUDDA                      | KATARAKI                         |587201|29020108101| GOVT HPS KATARAKI| bagalkot          | badami             | hebballi                  |1908| GOVT HPS KATARAKI                                          |29020108101
 BAGALKOT             | BADAMI             | HEBBALLI                           | KITTALI                          |587155|29020108902| GOVT HPS KITTALI| bagalkot          | badami             | hebballi                  |1909| GOVT HPS KITTALI                                           |29020108902
 BAGALKOT             | BADAMI             | HEBBALLI                           | LAKHAMAPUR                       |587201|29020109501| GOVT HPS LAKAMAPUR| bagalkot          | badami             | hebballi                  |1910| GOVT HPS LAKAMAPUR                                         |29020109501
 BAGALKOT             | BADAMI             | CHOLACHAGUDDA                      | MANNERI                          |587114|29020110501| GOVT HPS MANNERI| bagalkot          | badami             | hebballi                  |1912| GOVT HPS MANNERI                                           |29020110501
 BAGALKOT             | BADAMI             | HEBBALLI                           | MUMARADDIKOPPA                   |587201|29020110701| GOVT LPS MUMARADDIKOPPA| bagalkot          | badami             | hebballi                  |1913| GOVT LPS MUMARADDIKOPPA                                    |29020110701
 BAGALKOT             | BADAMI             | HEBBALLI                           | SULLA                            |587155|29020113301| GOVT HPS SULLA| bagalkot          | badami             | hebballi                  |1915| GOVT HPS SULLA                                             |29020113301
 BAGALKOT             | BADAMI             | CHOLACHAGUDDA                      | TAMINAL                          |587201|29020113501| GOVT HPS TAMINAL| bagalkot          | badami             | hebballi                  |1916| GOVT HPS TAMINAL                                           |29020113501
 BAGALKOT             | BADAMI             | MUTTALAGERI                        | ALADAKATTI                       |587201|29020100301| GOVT HPS ALADAKATTI| bagalkot          | badami             | badami                    |1917| GOVT HPS ALADAKATTI                                        |29020100301
 BAGALKOT             | BADAMI             | MUTTALAGERI                        | ALADAKATTI                       |587201|29020100302| GOVT LPS ALADAKATTI CROSS| bagalkot          | badami             | badami                    |1918| GOVT LPS ALADAKATTI CROSS                                  |29020100302
 BAGALKOT             | BADAMI             | BADAMI                             | BADAMI WARD NO.1                 |587201|29020115101| GOVT MPS BADAMI| bagalkot          | badami             | badami                    |1919| GOVT MPS BADAMI                                            |29020115101
 BAGALKOT             | BADAMI             | URDU BADAMI                        | BADAMI WARD NO.2                 |587201|29020115201| GOVT UB MPS BADAMI| bagalkot          | badami             | urdu badami               |1920| GOVT UB MPS BADAMI                                         |29020115201
 BAGALKOT             | BADAMI             | BADAMI                             | BADAMI WARD NO.8                 |587201|29020115801| GOVT MLA MPS BADAMI| bagalkot          | badami             | badami                    |1921| GOVT MLA MPS BADAMI                                        |29020115801
 BAGALKOT             | BADAMI             | URDU BADAMI                        | BADAMI WARD NO.9                 |587201|29020115901| GOVT UGS BADAMI| bagalkot          | badami             | urdu badami               |1923| GOVT UGS BADAMI                                            |29020115901
 BAGALKOT             | BADAMI             | BADAMI                             | BADAMI WARD NO.1                 |587201|29020115102| GOVT HPS TIPPU NAGAR BADAMI| bagalkot          | badami             | badami                    |1924| GOVT HPS TIPPU NAGAR BADAMI                                |29020115102
 BAGALKOT             | BADAMI             | BADAMI                             | BADAMI WARD NO.2                 |587201|29020115203| GOVT LPS TATAKOTI| bagalkot          | badami             | badami                    |1926| GOVT LPS TATAKOTI                                          |29020115203
 BAGALKOT             | BADAMI             | BADAMI                             | BADAMI WARD NO.9                 |587201|29020115902| LPS VADDAR ONI BADAMI| bagalkot          | badami             | badami                    |1928| LPS VADDAR ONI BADAMI                                      |29020115902
 BAGALKOT             | BADAMI             | URDU BADAMI                        | BADAMI WARD NO.1                 |587201|29020115104| GOVT URDU HPS BADAMI| bagalkot          | badami             | urdu badami               |1931| GOVT URDU HPS BADAMI                                       |29020115104
 BAGALKOT             | BADAMI             | MUTTALAGERI                        | MUTTALAGERI                      |587201|29020111003| GLPS MUTTALAGERI| bagalkot          | badami             | badami                    |1933| GLPS MUTTALAGERI                                           |29020111003
 BAGALKOT             | BADAMI             | MUTTALAGERI                        | YARAGOPPA (SB)                   |587201|29020114501| GOVT HPS YARAGOPPA SB| bagalkot          | badami             | badami                    |1934| GOVT HPS YARAGOPPA SB                                      |29020114501
 BAGALKOT             | BADAMI             | MUTTALAGERI                        | YARAGOPPA (SB)                   |587201|29020114502| GOVT KBLPS SHIVAPUR| bagalkot          | badami             | badami                    |1935| GOVT KBLPS SHIVAPUR                                        |29020114502
 BAGALKOT             | BADAMI             | BELURU                             | BELUR                            |587114|29020101701| GOVT HPS BELUR| bagalkot          | badami             | beluru                    |1937| GOVT HPS BELUR                                             |29020101701
 BAGALKOT             | BADAMI             | CHOLACHAGUDDA                      | CHOLACHAGUDDA                    |587201|29020102701| GOVT MPS CHOLACHAGUDDA| bagalkot          | badami             | cholachagudda             |1939| GOVT MPS CHOLACHAGUDDA                                     |29020102701
 BAGALKOT             | BADAMI             | CHOLACHAGUDDA                      | CHOLACHAGUDDA                    |587201|29020102702| GOVT KGS CHOLACHAGUDDA| bagalkot          | badami             | cholachagudda             |1940| GOVT KGS CHOLACHAGUDDA                                     |29020102702
 BAGALKOT             | BADAMI             | URDU BADAMI                        | CHOLACHAGUDDA                    |587201|29020102703| GOVT UBS CHOLACHAGUDDA| bagalkot          | badami             | cholachagudda             |1941| GOVT UBS CHOLACHAGUDDA                                     |29020102703
 BAGALKOT             | BADAMI             | CHOLACHAGUDDA                      | CHOLACHAGUDDA                    |587201|29020102706| GOVT LPS BANASHANKARI| bagalkot          | badami             | cholachagudda             |1942| GOVT LPS BANASHANKARI                                      |29020102706
 BAGALKOT             | BADAMI             | BELURU                             | DHANAKSHIRUR                     |587114|29020102801| GOVT HPS DHANAKASHIRUR| bagalkot          | badami             | cholachagudda             |1943| GOVT HPS DHANAKASHIRUR                                     |29020102801
 BAGALKOT             | BADAMI             | HOUSUR                             | GUDDAD MALLAPUR                  |587114|29020103501| GOVT HPS GUDDADMALLAPUR| bagalkot          | badami             | cholachagudda             |1944| GOVT HPS GUDDADMALLAPUR                                    |29020103501
 BAGALKOT             | BADAMI             | HOUSUR                             | HOSUR                            |587114|29020105501| GOVT HPS HOSUR| bagalkot          | badami             | cholachagudda             |1945| GOVT HPS HOSUR                                             |29020105501
 BAGALKOT             | BADAMI             | HOUSUR                             | HOSUR                            |587114|29020105504| GOVT KBHPS GIDDANAYAKANAL| bagalkot          | badami             | cholachagudda             |1948| GOVT KBHPS GIDDANAYAKANAL                                  |29020105504
 BAGALKOT             | BADAMI             | HOUSUR                             | JALIHAL                          |587114|29020106201| GOVT MPS JALIHAL| bagalkot          | badami             | cholachagudda             |1949| GOVT MPS JALIHAL                                           |29020106201
 BAGALKOT             | BADAMI             | URDU BADAMI                        | JALIHAL                          |587114|29020106203| GOVT UBS JALIHAL| bagalkot          | badami             | cholachagudda             |1951| GOVT UBS JALIHAL                                           |29020106203
 BAGALKOT             | BADAMI             | CHOLACHAGUDDA                      | KHYAD                            |587201|29020108801| GOVT HPS KHYAD| bagalkot          | badami             | cholachagudda             |1953| GOVT HPS KHYAD                                             |29020108801
 BAGALKOT             | BADAMI             | CHOLACHAGUDDA                      | NAGARAL SB                       |587201|29020111201| GOVT LPS NAGARAL SB| bagalkot          | badami             | cholachagudda             |1954| GOVT LPS NAGARAL SB                                        |29020111201
 BAGALKOT             | BADAMI             | NANDIKESWARA                       | B N JALIHAL                      |587201|29020100901| GOVT KB HPS B N JALIHAL| bagalkot          | badami             | nandikeswara              |1956| GOVT KB HPS B N JALIHAL                                    |29020100901
 BAGALKOT             | BADAMI             | NANDIKESWARA                       | BACHINA GUDDA                    |587201|29020101001| GOVT HPS BACHINAGUDDA| bagalkot          | badami             | nandikeswara              |1957| GOVT HPS BACHINAGUDDA                                      |29020101001
 BAGALKOT             | BADAMI             | BELURU                             | GONAL                            |587201|29020103101| GOVT KBHPS GONAL| bagalkot          | badami             | nandikeswara              |1958| GOVT KBHPS GONAL                                           |29020103101
 BAGALKOT             | BADAMI             | BELURU                             | HIRENASABI                       |587114|29020105201| GOVT HPS HIRENASABI| bagalkot          | badami             | nandikeswara              |1959| GOVT HPS HIRENASABI                                        |29020105201
 BAGALKOT             | BADAMI             | NANDIKESWARA                       | KATAPUR                          |587201|29020108001| GOVT HPS KATAPUR| bagalkot          | badami             | nandikeswara              |1960| GOVT HPS KATAPUR                                           |29020108001
 BAGALKOT             | BADAMI             | BELURU                             | MANGALUR                         |587201|29020110301| GOVT HPS MANGALUR| bagalkot          | badami             | nandikeswara              |1961| GOVT HPS MANGALUR                                          |29020110301
 BAGALKOT             | BADAMI             | NANDIKESWARA                       | NANDIKESHWAR                     |587201|29020111301| GOVT MPS NANDIKESHWAR| bagalkot          | badami             | nandikeswara              |1962| GOVT MPS NANDIKESHWAR                                      |29020111301
 BAGALKOT             | BADAMI             | NANDIKESWARA                       | NANDIKESHWAR                     |587201|29020111307| KBLPS MAHAKUT| bagalkot          | badami             | nandikeswara              |1964| KBLPS MAHAKUT                                              |29020111307
 BAGALKOT             | BADAMI             | NANDIKESWARA                       | NANDIKESHWAR                     |587201|29020111308| KBLPS SHIVAYOGI MANDIR, GOVANA| bagalkot          | badami             | nandikeswara              |1965| KBLPS SHIVAYOGI MANDIR, GOVANA                             |29020111308
 BAGALKOT             | BADAMI             | BELURU                             | NAVILHOLE                        |587114|29020111701| GOVT LPS NAVILHOLE| bagalkot          | badami             | nandikeswara              |1966| GOVT LPS NAVILHOLE                                         |29020111701
 BAGALKOT             | BADAMI             | NANDIKESWARA                       | NELWAGI                          |587201|29020112201| GOVT HPS NELWAGI| bagalkot          | badami             | nandikeswara              |1967| GOVT HPS NELWAGI                                           |29020112201
 BAGALKOT             | BADAMI             | NANDIKESWARA                       | PATTADKALL                       |587201|29020112501| GOVT HPS PATTADAKALL| bagalkot          | badami             | nandikeswara              |1968| GOVT HPS PATTADAKALL                                       |29020112501
 BAGALKOT             | BADAMI             | NANDIKESWARA                       | PATTADKALL                       |587201|29020112502| GOVT LPS PATTADAKALL PLOT| bagalkot          | badami             | nandikeswara              |1969| GOVT LPS PATTADAKALL PLOT                                  |29020112502
 BAGALKOT             | BADAMI             | BELURU                             | SHIRABADAGI                      |587201|29020112901| GOVT HPS SIRABADGI| bagalkot          | badami             | nandikeswara              |1970| GOVT HPS SIRABADGI                                         |29020112901
 BAGALKOT             | BADAMI             | KOTIKAL                            | HANAPUR S P                      |587203|29020104402| GOVT HPS HANAPUR LT| bagalkot          | badami             | kotikal                   |1972| GOVT HPS HANAPUR LT                                        |29020104402
