 BANGALORE U SOUTH    | SOUTH1             |                                    |29200124393| GHPS KUMARASWAMY LAYOUT                                  | PADMANABHANAGARA                 |562130|1|1|14|co-ed
 RAMANAGARA           | MAGADI             |                                    |29320524901| G LPS HOMMBALAMMANAPETE                                  | MAGADI TOWN                      |0|1|1|13|co-ed
